"Brent Chase","0MD5DL","beds: 804","2018-04-09 22:03:53","2019-01-26 01:40:40","1","Apt 3267, 269 Fernando Prairie Apt. 622, AK 42879","Apt 3267, 269 Fernando Prairie Apt. 622, AK 42879","NTCAAX","0","1","0","1","1","1"
"Juan Gibson","9LVHGW","toys: 961","2018-02-07 02:26:19","2018-11-28 17:54:45","1","Apt 634, 22473 Karen Drives, CA 79308","Apt 634, 22473 Karen Drives, CA 79308","DXVUDV","0","1","1","0","1","0"
"Christine Wolf","DB02TK","toys: 380","2017-05-03 02:09:20","2020-09-06 08:45:32","1","Apt 4519, 3317 Adam Road, MI 97738","Apt 4519, 3317 Adam Road, MI 97738","4YCV6X","0","0","1","0","0","0"
"Mary Ferrell","MCXJ2C","food: 283","2016-07-07 23:16:58","2017-12-09 07:01:53","0","Apt 317, 7225 Craig Villages, RI 41378","Apt 317, 7225 Craig Villages, RI 41378","IRNOJT","1","1","1","0","1","0"
"Doris Harrington","IH58VA","toys: 351","2020-07-02 22:07:13","2019-07-08 00:49:19","0","Apt 318, 58158 Kelley Street, NE 74984","Apt 318, 58158 Kelley Street, NE 74984","88LCSZ","0","0","0","1","1","1"
"Lisa Fox","2YUZVV","beds: 333","2018-11-26 06:43:34","2020-06-27 13:48:34","1","Apt 34885, 50784 Karina Squares Apt. 570, CA 56370","Apt 34885, 50784 Karina Squares Apt. 570, CA 56370","BNNSMC","0","1","1","1","1","1"
"Dana Johnson","KP3J3O","beds: 200","2018-12-24 16:56:49","2018-11-14 12:46:39","1","Apt 848, 25114 Mcdowell Pass, NC 20557","Apt 848, 25114 Mcdowell Pass, NC 20557","8WSA4E","0","1","1","0","1","0"
"Lori Rogers","UXY9XI","treats: 596","2019-01-13 01:57:30","2020-04-26 16:07:41","0","Apt 88865, 07313 Anderson Shores Apt. 988, AR 88218","Apt 88865, 07313 Anderson Shores Apt. 988, AR 88218","T73V12","1","0","0","1","1","1"
"Joseph Brown","HIKB6I","beds: 732","2021-09-15 12:39:40","2018-11-13 01:09:14","1","Apt 685, 04962 Wanda Row, RI 54886","Apt 685, 04962 Wanda Row, RI 54886","9N024P","1","0","0","0","0","1"
"Michael Cruz","YVYDBY","treats: 29","2019-12-10 18:49:46","2019-03-20 08:26:29","1","Apt 4593, 2547 Lynch Isle, SD 10711","Apt 4593, 2547 Lynch Isle, SD 10711","62IA2M","0","1","1","0","0","0"
"Jackson Nelson","UKCMU4","toys: 956","2016-11-08 15:45:47","2018-12-03 12:40:05","1","Apt 56246, 264 Frank Dale, NJ 92947","Apt 56246, 264 Frank Dale, NJ 92947","GWB1AW","1","0","0","1","1","1"
"Paul Kim","ANEB3R","treats: 627","2021-04-25 07:31:23","2022-01-13 03:33:11","0","Apt 491, 40171 Green Burg Suite 824, WV 94812","Apt 491, 40171 Green Burg Suite 824, WV 94812","M2GW6K","1","1","0","0","1","0"
"Mary Clark","PXEGNP","treats: 649","2018-10-20 23:25:59","2016-01-25 04:06:13","0","Apt 6275, 007 Young Crossing, PA 62732","Apt 6275, 007 Young Crossing, PA 62732","5RARPG","0","1","0","0","0","0"
"Angela Yu","HGQQJ6","food: 166","2018-06-09 14:07:55","2019-11-01 06:11:26","0","Apt 84621, 585 Page Loaf, CA 24706","Apt 84621, 585 Page Loaf, CA 24706","ZJIX6O","1","1","0","0","0","1"
